description,effective_domain_size,goshv,intersection_size,intersections,name,native,p_value,parents,precision,query,query_size,recall,significant,source,term_size,source_order,group_id
Viral myocarditis,8484,40706,7,"[['KEGG'], ['KEGG'], ['KEGG'], [], [], [], [], [], [], [], ['KEGG'], [], [], ['KEGG'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['KEGG'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['KEGG'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",Viral myocarditis,KEGG:05416,0.00019276303405232377,['KEGG:00000'],0.08536585365853659,query_1,82,0.1111111111111111,True,KEGG,63,493,25
"""A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it."" [GOC:dos, GOC:mah, ISBN:0815316194]",22149,36889,100,"[['IDA', 'HDA', 'IBA', 'TAS', 'NAS', 'IEA'], ['IEA'], ['IDA', 'IBA', 'TAS', 'NAS', 'IEA'], ['TAS', 'IEA'], [], ['IDA', 'ISS', 'IBA', 'NAS', 'IEA'], [], [], [], ['IEA'], ['IDA', 'HDA', 'IBA', 'TAS', 'IEA'], [], [], ['IDA', 'IMP', 'HDA', 'IBA', 'TAS', 'NAS', 'IEA'], ['IBA', 'IEA'], ['TAS', 'IEA'], [], ['IDA', 'TAS', 'IEA'], [], ['IBA', 'IEA'], ['HDA', 'IBA', 'TAS', 'IEA'], ['IEA'], ['IBA', 'TAS', 'IEA'], ['IEA'], ['IDA', 'ISS', 'IBA', 'TAS', 'NAS', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IBA', 'NAS', 'IEA'], ['IDA', 'ISS', 'IEA'], [], ['IBA'], ['HDA'], [], [], ['IEA'], ['IEA'], ['HDA', 'TAS', 'IEA'], ['HDA', 'ISS', 'IBA', 'TAS', 'IEA'], ['HDA'], ['IDA', 'IEA'], ['IEA'], ['IDA', 'HDA', 'ISS', 'IBA', 'TAS', 'IEA'], [], [], ['HDA'], ['IDA', 'IMP', 'HDA', 'IBA', 'TAS', 'IEA'], [], [], [], [], ['IDA', 'HDA', 'IBA', 'TAS', 'NAS', 'IEA'], ['IDA', 'ISO', 'IBA', 'TAS', 'IEA'], ['IDA', 'TAS', 'IEA'], ['IEA'], [], ['IBA', 'IEA'], [], ['IEA'], [], ['ISS', 'IBA', 'TAS', 'IEA'], [], ['HDA'], ['IEA'], ['IDA', 'NAS'], ['HDA'], [], ['IBA', 'TAS', 'IEA'], [], [], [], [], [], [], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'HDA', 'IBA', 'IEA'], ['IBA', 'IEA'], ['IDA', 'IMP', 'ISS', 'IBA', 'TAS', 'IEA'], [], ['HDA'], ['IEA'], ['HDA', 'IEA'], [], ['IBA'], ['IDA', 'ISS', 'IBA', 'TAS', 'IEA'], ['IDA', 'TAS', 'NAS', 'IEA'], [], ['IEA'], [], [], ['HDA', 'IBA', 'IEA'], ['IDA', 'HDA', 'IBA', 'IEA'], ['IBA'], ['IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], [], ['TAS', 'IEA'], ['IDA', 'TAS', 'IEA'], ['IDA', 'IPI', 'ISS', 'IBA', 'TAS', 'NAS', 'IEA'], [], ['HDA'], ['IDA', 'ISS', 'IEA'], ['IDA', 'IMP', 'NAS', 'IEA'], [], [], [], ['IDA', 'IBA', 'TAS', 'IEA'], ['IMP', 'HDA', 'ISS', 'TAS', 'IEA'], [], [], [], ['IDA', 'IEA'], [], [], [], ['IBA', 'TAS', 'IEA'], ['IDA'], [], [], ['TAS', 'IEA'], ['IDA', 'IBA'], ['IBA', 'NAS', 'IEA'], ['IDA', 'HDA', 'IBA', 'TAS', 'IEA'], [], [], [], [], [], [], [], ['TAS', 'IEA'], ['HDA'], [], [], ['IEA'], [], [], [], ['HDA', 'TAS', 'NAS', 'IEA'], [], ['ISS', 'IBA', 'TAS', 'NAS', 'IEA'], [], [], [], [], [], [], [], [], ['IDA', 'HDA', 'IBA', 'TAS', 'NAS', 'IEA'], [], [], ['IDA', 'TAS', 'IEA'], ['IDA', 'ISS', 'IBA', 'IEA'], ['IEA'], [], [], ['IEA'], [], ['IDA'], ['TAS', 'IEA'], ['NAS', 'IEA'], ['TAS'], [], ['HDA'], [], [], [], [], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'HDA', 'IBA', 'TAS', 'IEA'], [], ['IDA', 'IEA'], [], [], [], ['IDA', 'IMP', 'IBA', 'TAS', 'IEA'], [], ['ISS', 'IEA'], ['IDA', 'ISS', 'TAS', 'IEA'], ['IDA', 'HDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'TAS', 'IEA'], ['IEA'], [], ['IEA']]",membrane,GO:0016020,0.00022902665658244722,['GO:0110165'],0.6451612903225806,query_1,155,0.010047221943132723,True,GO:CC,9953,699,3
"""Binding to an antigen peptide."" [GOC:add, GOC:jl, GOC:rv]",20246,5128,6,"[['IDA', 'IBA'], [], ['IDA', 'IBA'], [], [], [], [], [], [], [], ['IDA', 'IBA'], [], [], ['IDA', 'IBA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA', 'IBA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA', 'IMP', 'IBA', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",peptide antigen binding,GO:0042605,0.0004518707331296975,"['GO:0003823', 'GO:0042277']",0.040268456375838924,query_1,149,0.14285714285714285,True,GO:MF,42,5128,1
"""Any small, fluid-filled, spherical organelle enclosed by membrane."" [GOC:mah, GOC:pz, GOC:vesicles]",22149,37389,53,"[['HDA', 'TAS', 'IEA'], ['IEA'], ['IBA', 'TAS', 'IEA'], ['HDA'], [], ['IEA'], [], [], [], [], ['IBA', 'TAS', 'IEA'], [], [], ['IDA', 'HDA', 'IBA', 'TAS', 'IEA'], [], ['HDA'], [], [], [], [], ['HDA'], [], [], [], [], [], ['IDA'], [], [], [], ['HDA'], [], ['HDA'], [], [], ['HDA', 'TAS'], ['HDA', 'ISS', 'TAS', 'IEA'], [], ['HDA'], [], [], [], [], ['ISS'], [], [], [], [], [], ['HDA', 'TAS', 'IEA'], [], [], [], [], [], [], [], [], ['HDA', 'IEA'], [], ['HDA', 'TAS'], [], [], ['HDA'], [], [], [], [], [], [], [], [], ['TAS'], ['IBA'], [], ['HDA', 'TAS'], [], ['IDA', 'IBA', 'IEA'], [], [], [], ['IEA'], ['HDA'], [], [], [], [], [], ['HDA'], ['IDA', 'IBA', 'IEA'], [], [], ['HDA'], [], [], ['HDA', 'TAS'], [], [], [], ['ISS'], [], [], [], [], [], [], [], [], ['HDA'], ['IDA', 'IBA', 'IEA'], [], [], ['NAS'], [], [], [], [], [], [], [], ['IDA', 'HDA', 'TAS', 'IEA'], [], [], ['IEA'], [], [], [], [], [], ['HDA'], [], [], ['HDA'], [], ['HDA'], ['HDA'], ['HDA', 'TAS'], [], ['HDA'], [], [], [], [], [], [], [], [], ['HDA', 'TAS', 'IEA'], [], [], ['TAS'], ['IDA', 'HDA', 'IBA', 'IEA'], [], [], [], [], [], ['IDA', 'HDA'], [], [], ['HDA', 'IEA'], ['IDA', 'HDA', 'TAS'], [], [], [], [], ['NAS'], ['IDA', 'IEA'], ['HDA'], [], [], [], [], [], [], [], [], [], [], ['ISS', 'IBA', 'TAS', 'IEA'], [], [], ['HDA']]",vesicle,GO:0031982,0.00048132551572371385,['GO:0043227'],0.3419354838709677,query_1,155,0.0131415819489214,True,GO:CC,4033,1199,4
Interferon gamma signaling,11004,42025,8,"[['REAC'], [], ['REAC'], [], [], [], [], [], [], [], ['REAC'], [], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",Interferon gamma signaling,REAC:R-HSA-877300,0.0007021833010507406,['REAC:R-HSA-913531'],0.08,query_1,100,0.08791208791208792,True,REAC,91,1242,29
Phagosome,8484,40494,9,"[['KEGG'], ['KEGG'], ['KEGG'], [], [], [], [], [], [], [], ['KEGG'], [], [], ['KEGG'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['KEGG'], [], [], [], [], [], [], [], [], [], [], ['KEGG'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['KEGG'], [], [], [], [], [], [], [], [], [], [], [], [], [], ['KEGG'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",Phagosome,KEGG:04145,0.0009756909476156866,['KEGG:00000'],0.10975609756097561,query_1,82,0.061224489795918366,True,KEGG,147,281,26
"""A vesicle that is released into the extracellular region by fusion of the limiting endosomal membrane of a multivesicular body with the plasma membrane. Extracellular exosomes, also simply called exosomes, have a diameter of about 40-100 nm."" [GOC:BHF, GOC:mah, GOC:vesicles, PMID:15908444, PMID:17641064, PMID:19442504, PMID:19498381, PMID:22418571, PMID:24009894]",22149,38543,34,"[['HDA'], [], [], ['HDA'], [], [], [], [], [], [], [], [], [], ['HDA'], [], ['HDA'], [], [], [], [], ['HDA'], [], [], [], [], [], [], [], [], [], ['HDA'], [], ['HDA'], [], [], ['HDA'], ['HDA'], [], ['HDA'], [], [], [], [], [], [], [], [], [], [], ['HDA'], [], [], [], [], [], [], [], [], ['HDA'], [], ['HDA'], [], [], ['HDA'], [], [], [], [], [], [], [], [], [], [], [], ['HDA'], [], [], [], [], [], [], ['HDA'], [], [], [], [], [], ['HDA'], [], [], [], ['HDA'], [], [], ['HDA'], [], [], [], [], [], [], [], [], [], [], [], [], ['HDA'], [], [], [], [], [], [], [], [], [], [], [], ['HDA'], [], [], [], [], [], [], [], [], ['HDA'], [], [], ['HDA'], [], ['HDA'], ['HDA'], ['HDA'], [], ['HDA'], [], [], [], [], [], [], [], [], ['HDA'], [], [], [], ['HDA'], [], [], [], [], [], ['IDA', 'HDA'], [], [], ['HDA'], ['HDA'], [], [], [], [], [], [], ['HDA'], [], [], [], [], [], [], [], [], [], [], [], [], [], ['HDA']]",extracellular exosome,GO:0070062,0.001032913763124701,"['GO:0005615', 'GO:1903561']",0.21935483870967742,query_1,155,0.016106110847939364,True,GO:CC,2111,2353,4
"""The lipid bilayer surrounding a vesicle transporting substances from the endoplasmic reticulum to the Golgi."" [GOC:ai, GOC:ascb_2009, GOC:dph, GOC:tb]",22149,36858,6,"[['TAS', 'IEA'], [], ['TAS'], [], [], [], [], [], [], [], ['TAS'], [], [], ['TAS'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['TAS', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['TAS', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",ER to Golgi transport vesicle membrane,GO:0012507,0.0012110374560561016,"['GO:0030134', 'GO:0030658', 'GO:0030662']",0.03870967741935484,query_1,155,0.1016949152542373,True,GO:CC,59,668,6
"""The broad region around and including the plasma membrane of a cell, encompassing the cell cortex (inside the cell), the plasma membrane, and any external encapsulating structures."" [GOC:pdt]",22149,38915,71,"[['IDA', 'IBA', 'TAS', 'NAS', 'IEA'], ['IEA'], ['IDA', 'IBA', 'TAS', 'NAS', 'IEA'], ['TAS', 'IEA'], [], ['IDA', 'ISS', 'IBA', 'NAS', 'IEA'], [], [], [], ['IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], [], [], ['IDA', 'IMP', 'IBA', 'TAS', 'IEA'], [], ['TAS', 'IEA'], [], ['IDA', 'TAS', 'IEA'], [], ['IBA', 'IEA'], ['IBA', 'TAS', 'IEA'], ['ISS', 'IEA'], ['TAS'], [], [], ['IDA', 'IBA', 'TAS'], ['TAS', 'NAS', 'IEA'], ['IDA', 'ISS', 'IEA'], [], ['IBA'], [], [], [], [], ['IEA'], ['IDA', 'TAS', 'IEA'], ['ISS', 'IBA', 'TAS', 'IEA'], [], ['IDA', 'IEA'], [], ['IDA', 'ISS', 'IBA', 'TAS', 'IEA'], [], [], [], ['IDA', 'IMP', 'IEA'], ['IBA'], [], [], [], ['IDA', 'IBA', 'TAS', 'NAS', 'IEA'], ['IDA', 'ISO', 'IBA', 'TAS', 'IEA'], ['IDA', 'TAS', 'IEA'], ['IEA'], [], [], [], [], [], ['ISS', 'IBA', 'TAS', 'IEA'], [], ['IBA'], [], ['IDA', 'NAS'], [], [], ['IBA', 'TAS', 'IEA'], [], [], [], [], [], ['NAS'], ['IDA', 'IBA', 'TAS', 'IEA'], [], ['IBA', 'IEA'], ['IDA', 'IMP', 'ISS', 'IBA', 'TAS', 'IEA'], [], [], ['IDA', 'IMP', 'IBA', 'IEA'], [], [], ['IBA'], ['IDA', 'ISS', 'IBA', 'TAS', 'IEA'], ['IDA', 'TAS', 'NAS', 'IEA'], [], [], [], [], ['IBA', 'IEA'], [], ['IBA'], [], ['IDA', 'IBA', 'TAS', 'IEA'], [], [], ['IDA', 'TAS', 'IEA'], ['IDA', 'IPI', 'ISS', 'IBA', 'TAS', 'NAS', 'IEA'], [], [], ['IDA', 'IEA'], [], [], [], [], ['IDA', 'IBA', 'TAS', 'IEA'], [], [], [], ['HDA'], [], [], [], [], [], ['IDA'], [], [], ['HDA', 'IBA', 'TAS', 'IEA'], ['IDA'], ['IBA', 'NAS'], ['TAS'], [], [], [], [], [], [], [], ['TAS', 'IEA'], [], [], [], [], [], [], ['IBA'], ['TAS', 'IEA'], [], ['ISS', 'IBA', 'TAS', 'NAS', 'IEA'], [], [], [], [], [], [], [], [], ['IDA', 'IBA', 'TAS', 'NAS', 'IEA'], [], [], ['IDA', 'TAS', 'IEA'], ['IDA', 'ISS', 'IBA', 'IEA'], [], [], ['IEA'], ['IEA'], [], ['IDA', 'HDA'], ['TAS', 'IEA'], ['IEA'], ['TAS'], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], ['ISS', 'IEA'], ['IDA', 'ISS', 'TAS', 'IEA'], [], ['IDA'], [], [], []]",cell periphery,GO:0071944,0.0013857553584947651,['GO:0110165'],0.45806451612903226,query_1,155,0.011186387269576178,True,GO:CC,6347,2725,3
"""Any vesicle that is part of the extracellular region."" [GO_REF:0000064, GOC:pm, GOC:TermGenie, PMID:24769233]",22149,39847,34,"[['HDA'], [], [], ['HDA'], [], [], [], [], [], [], [], [], [], ['HDA'], [], ['HDA'], [], [], [], [], ['HDA'], [], [], [], [], [], [], [], [], [], ['HDA'], [], ['HDA'], [], [], ['HDA'], ['HDA'], [], ['HDA'], [], [], [], [], [], [], [], [], [], [], ['HDA'], [], [], [], [], [], [], [], [], ['HDA'], [], ['HDA'], [], [], ['HDA'], [], [], [], [], [], [], [], [], [], [], [], ['HDA'], [], [], [], [], [], [], ['HDA'], [], [], [], [], [], ['HDA'], [], [], [], ['HDA'], [], [], ['HDA'], [], [], [], [], [], [], [], [], [], [], [], [], ['HDA'], [], [], [], [], [], [], [], [], [], [], [], ['HDA'], [], [], [], [], [], [], [], [], ['HDA'], [], [], ['HDA'], [], ['HDA'], ['HDA'], ['HDA'], [], ['HDA'], [], [], [], [], [], [], [], [], ['HDA'], [], [], [], ['HDA'], [], [], [], [], [], ['IDA', 'HDA'], [], [], ['HDA'], ['HDA'], [], [], [], [], [], [], ['HDA'], [], [], [], [], [], [], [], [], [], [], [], [], [], ['HDA']]",extracellular vesicle,GO:1903561,0.001408646812044267,"['GO:0031982', 'GO:0065010']",0.21935483870967742,query_1,155,0.015880429705744978,True,GO:CC,2141,3657,4
"""Organized structure of distinctive morphology and function, occurring outside the cell. Includes, for example, extracellular membrane vesicles (EMVs) and the cellulosomes of anaerobic bacteria and fungi."" [GOC:jl, PMID:9914479]",22149,38034,34,"[['HDA'], [], [], ['HDA'], [], [], [], [], [], [], [], [], [], ['HDA'], [], ['HDA'], [], [], [], [], ['HDA'], [], [], [], [], [], [], [], [], [], ['HDA'], [], ['HDA'], [], [], ['HDA'], ['HDA'], [], ['HDA'], [], [], [], [], [], [], [], [], [], [], ['HDA'], [], [], [], [], [], [], [], [], ['HDA'], [], ['HDA'], [], [], ['HDA'], [], [], [], [], [], [], [], [], [], [], [], ['HDA'], [], [], [], [], [], [], ['HDA'], [], [], [], [], [], ['HDA'], [], [], [], ['HDA'], [], [], ['HDA'], [], [], [], [], [], [], [], [], [], [], [], [], ['HDA'], [], [], [], [], [], [], [], [], [], [], [], ['HDA'], [], [], [], [], [], [], [], [], ['HDA'], [], [], ['HDA'], [], ['HDA'], ['HDA'], ['HDA'], [], ['HDA'], [], [], [], [], [], [], [], [], ['HDA'], [], [], [], ['HDA'], [], [], [], [], [], ['IDA', 'HDA'], [], [], ['HDA'], ['HDA'], [], [], [], [], [], [], ['HDA'], [], [], [], [], [], [], [], [], [], [], [], [], [], ['HDA']]",extracellular organelle,GO:0043230,0.001423117703735565,"['GO:0005576', 'GO:0043226']",0.21935483870967742,query_1,155,0.015873015873015872,True,GO:CC,2142,1844,4
"""Organized structure of distinctive morphology and function, bounded by a lipid bilayer membrane and occurring outside the cell."" [GOC:isa_complete]",22149,38523,34,"[['HDA'], [], [], ['HDA'], [], [], [], [], [], [], [], [], [], ['HDA'], [], ['HDA'], [], [], [], [], ['HDA'], [], [], [], [], [], [], [], [], [], ['HDA'], [], ['HDA'], [], [], ['HDA'], ['HDA'], [], ['HDA'], [], [], [], [], [], [], [], [], [], [], ['HDA'], [], [], [], [], [], [], [], [], ['HDA'], [], ['HDA'], [], [], ['HDA'], [], [], [], [], [], [], [], [], [], [], [], ['HDA'], [], [], [], [], [], [], ['HDA'], [], [], [], [], [], ['HDA'], [], [], [], ['HDA'], [], [], ['HDA'], [], [], [], [], [], [], [], [], [], [], [], [], ['HDA'], [], [], [], [], [], [], [], [], [], [], [], ['HDA'], [], [], [], [], [], [], [], [], ['HDA'], [], [], ['HDA'], [], ['HDA'], ['HDA'], ['HDA'], [], ['HDA'], [], [], [], [], [], [], [], [], ['HDA'], [], [], [], ['HDA'], [], [], [], [], [], ['IDA', 'HDA'], [], [], ['HDA'], ['HDA'], [], [], [], [], [], [], ['HDA'], [], [], [], [], [], [], [], [], [], [], [], [], [], ['HDA']]",extracellular membrane-bounded organelle,GO:0065010,0.001423117703735565,"['GO:0043227', 'GO:0043230']",0.21935483870967742,query_1,155,0.015873015873015872,True,GO:CC,2142,2333,4
Epstein-Barr virus infection,8484,40663,10,"[['KEGG'], ['KEGG'], ['KEGG'], [], [], [], [], [], [], [], ['KEGG'], [], [], ['KEGG'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['KEGG'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['KEGG'], [], ['KEGG'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['KEGG'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['KEGG'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",Epstein-Barr virus infection,KEGG:05169,0.0016798127700561013,['KEGG:00000'],0.12195121951219512,query_1,82,0.050505050505050504,True,KEGG,198,450,27
"""A transmembrane protein complex composed of an MHC class II alpha and MHC class II beta chain, and with or without a bound peptide or polysaccharide antigen."" [GOC:add, GOC:jl, ISBN:0120781859, PMID:15928678]",22149,37965,4,"[[], ['IEA'], ['IDA', 'IBA', 'IEA'], [], [], [], [], [], [], [], ['IDA', 'IBA', 'IEA'], [], [], ['IDA', 'IMP', 'IBA', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",MHC class II protein complex,GO:0042613,0.0017516056741965073,['GO:0042611'],0.025806451612903226,query_1,155,0.23529411764705882,True,GO:CC,17,1775,5
"""Any process that modulates the frequency, rate, or extent of T cell mediated cytotoxicity."" [GOC:add, ISBN:0781735149]",21026,10683,6,"[['IDA', 'IBA'], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IBA'], ['IDA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA', 'IBA', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",regulation of T cell mediated cytotoxicity,GO:0001914,0.001980251834175998,"['GO:0001910', 'GO:0001913', 'GO:0002709']",0.039735099337748346,query_1,151,0.125,True,GO:BP,48,529,14
"""A cell-substrate junction (attachment structure) found in epithelial cells that links intermediate filaments to extracellular matrices via transmembrane complexes. In vertebrates, hemidesmosomes mediate contact between the basal side of epithelial cells and the basal lamina. In C. elegans, hemidesmosomes connect epithelial cells to distinct extracellular matrices on both the apical and basal cell surfaces."" [GOC:kmv, ISBN:0815316208, PMID:20205195]",22149,37036,3,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA', 'IBA', 'TAS', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA', 'IBA', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",hemidesmosome,GO:0030056,0.003946973197521804,['GO:0030055'],0.01935483870967742,query_1,155,0.42857142857142855,True,GO:CC,7,846,7
"""An immune response mediated by cells expressing specific receptors for antigens produced through a somatic diversification process, and allowing for an enhanced secondary response to subsequent exposures to the same antigen (immunological memory)."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",21026,10934,19,"[['IDA', 'IBA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], [], [], [], [], [], ['IEA'], ['IEA'], [], [], ['IDA', 'IMP', 'IEA'], [], ['IEA'], [], ['IEA'], [], [], ['IDA', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IBA', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IBA', 'IEA'], ['IDA', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['NAS', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IBA', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA', 'IBA', 'IEA'], [], [], [], [], [], [], [], [], ['TAS'], [], ['IBA', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",adaptive immune response,GO:0002250,0.004000325308446119,['GO:0006955'],0.12582781456953643,query_1,151,0.024934383202099737,True,GO:BP,762,780,16
